城市,名称,链接,户型,面积,朝向,楼层,装修,小区,区域,总价,单价,建成时间,发布时间,关注,其他信息
上海,带车位！！中间楼层、自住精装、已满五年,https://sh.lianjia.com/ershoufang/107106430354.html,2室1厅,64.01平米,南,中楼层(共6层),精装,粤秀苑,大宁, 449万,"70,146元/平",1999年建,5个月以前发布,47人关注,板楼、VR看装修、房本满两年
上海,总校+次新+电梯房中区+近地铁,https://sh.lianjia.com/ershoufang/107107275433.html,1室1厅,48.3平米,南,中楼层(共21层),精装,大宁龙盛雅苑,大宁, 483万,"100,000元/平",2012年建,1个月以前发布,4人关注,板楼、近地铁、VR看装修、随时看房
上海,新上地铁口边套两房+售后公房+中间楼层不靠高架、马路,https://sh.lianjia.com/ershoufang/107107318312.html,2室1厅,47.3平米,南 北,中楼层(共6层),精装,中山北路805弄,大宁, 360万,"76,110元/平",1988年建,1个月以前发布,21人关注,板楼、VR看装修
上海,八方花苑 3室1厅 南,https://sh.lianjia.com/ershoufang/107107531309.html,3室1厅,85.54平米,南,高楼层(共6层),简装,八方花苑,大宁, 700万,"81,834元/平",1995年建,7天以前发布,2人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,店长推荐~满五无个税全南大两房户型小区花园水景位置,https://sh.lianjia.com/ershoufang/107107497437.html,2室2厅,102.53平米,南,低楼层(共32层),精装,慧芝湖花园（一二期）,大宁, 1070万,"104,360元/平",2009年建,11天以前发布,9人关注,板楼、近地铁、VR房源、房本满五年、随时看房
上海,地铁口+电梯房+环境好+配套齐全+采光充足,https://sh.lianjia.com/ershoufang/107107552545.html,1室1厅,40.24平米,南,低楼层(共6层),简装,老沪太路250弄,大宁, 325万,"80,766元/平",1985年建,3天以前发布,0人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,精致电梯2房＋高区前无遮挡视野开阔＋闸实满五税少,https://sh.lianjia.com/ershoufang/107107472879.html,2室2厅,90.52平米,南,高楼层(共26层),简装,悠和家园,大宁, 940万,"103,845元/平",2006年建,15天以前发布,3人关注,板楼、近地铁、VR房源、房本满五年、随时看房
上海,小区位置好 ，电梯中间楼层，得房率高，诚心出售。,https://sh.lianjia.com/ershoufang/107107548575.html,3室2厅,115.78平米,南 北,中楼层(共14层),精装,新梅共和城,大宁, 1180万,"101,918元/平",2004年建,4天以前发布,3人关注,板楼、近地铁、VR房源、房本满五年
上海,佳宁佳宁，佳人安宁，小区游亭，南北全明，彩色映天庭,https://sh.lianjia.com/ershoufang/107107501825.html,2室2厅,108.02平米,南,高楼层(共8层),精装,佳宁花园,大宁, 980万,"90,724元/平",2002年建,11天以前发布,3人关注,板楼、VR看装修、房本满五年
上海,新上房源，售后公房，全明方正户型，带个小花园,https://sh.lianjia.com/ershoufang/107107493407.html,2室2厅,87.56平米,南,6层,简装,永乐苑,大宁, 810万,"92,508元/平",1998年建,12天以前发布,2人关注,板楼、VR看装修、房本满五年
上海,新上闸实电梯高区大三房+税费各付+有钥匙+业主诚急售,https://sh.lianjia.com/ershoufang/107107537479.html,3室2厅,131.04平米,南,高楼层(共25层),简装,金纺小区,大宁, 825万,"62,958元/平",1998年建,6天以前发布,6人关注,塔楼、VR房源、随时看房
上海,低密电梯小洋房，献给懂生活的您，精装修纯商品房小区,https://sh.lianjia.com/ershoufang/107107361107.html,3室2厅,100.02平米,南,中楼层(共7层),精装,世纪花苑,大宁, 788万,"78,785元/平",1999年建,30天以前发布,16人关注,板楼、VR看装修、房本满两年、随时看房
上海,店长推荐五星好房 两年前精装修 满五年为I税少拎包住,https://sh.lianjia.com/ershoufang/107107438417.html,2室2厅,107.59平米,南 北,低楼层(共27层),精装,盛源家豪城,大宁, 1150万,"106,888元/平",2008年建,19天以前发布,6人关注,板楼、VR看装修、房本满五年、随时看房
上海,"急售清退租客,精装修采光好,成熟配套",https://sh.lianjia.com/ershoufang/107107515309.html,1室1厅,30.99平米,南,高楼层(共6层),精装,老沪太路250弄,大宁, 295万,"95,192元/平",1986年建,9天以前发布,3人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,【一梯一户】不一样的户型，不一样的感觉,https://sh.lianjia.com/ershoufang/107107430080.html,3室2厅,116.71平米,南 北,高楼层(共18层),精装,静安府东区,大宁, 1620万,"138,806元/平",2019年建,20天以前发布,11人关注,板楼、近地铁、VR房源、房本满两年
上海,慧芝湖三期笋盘南北通透 布局合理 双阳台 不靠马路,https://sh.lianjia.com/ershoufang/107107380532.html,3室2厅,86.29平米,南 北,低楼层(共31层),精装,慧芝湖花园（三期）,大宁, 1100万,"127,478元/平",2011年建,28天以前发布,8人关注,板楼、近地铁、VR看装修、房本满五年
上海,新上大宁城边套全明两房+满五年一+精装修高区景观房,https://sh.lianjia.com/ershoufang/107107457684.html,2室2厅,80.33平米,南,高楼层(共32层),精装,上海滩大宁城(公寓),大宁, 930万,"115,773元/平",2012年建,17天以前发布,16人关注,板楼、VR房源、房本满五年
上海,顶楼带车位，华润品质，邻近地铁，精装修高质量小区！,https://sh.lianjia.com/ershoufang/107107430035.html,3室2厅,93.99平米,南 北,高楼层(共33层) ,其他,静安府东区,大宁, 1300万,"138,313元/平",,20天以前发布,9人关注,板楼、近地铁、VR看装修、房本满两年
上海,此房m5v1，小区在售少数的高层，价格适中，业主诚意,https://sh.lianjia.com/ershoufang/107107453187.html,2室2厅,90.56平米,南,中楼层(共28层),精装,慧芝湖花园（一二期）,大宁, 1088万,"120,142元/平",2007年建,17天以前发布,6人关注,板楼、近地铁、VR房源、房本满五年
上海,精装修三房两卫+小区中间位置+采光好+楼层好,https://sh.lianjia.com/ershoufang/107107501269.html,3室2厅,107.96平米,南,中楼层(共6层),精装,歌林春天馨园,大宁, 1138万,"105,410元/平",2002年建,11天以前发布,4人关注,板楼、VR房源、房本满五年
上海,新上刚需全南2房，中间楼栋，产证满五年税费少，诚售,https://sh.lianjia.com/ershoufang/107107473790.html,2室2厅,87.04平米,南,低楼层(共24层),简装,明园森林都市滴翠苑,大宁, 830万,"95,359元/平",2007年建,15天以前发布,6人关注,板楼、VR房源、房本满五年
上海,好房推荐，飞机户型小三房，采光视野好，车位另算,https://sh.lianjia.com/ershoufang/107107467889.html,3室2厅,93.98平米,南 北,低楼层(共14层),精装,象屿大宁悦府,大宁, 1130万,"120,239元/平",2016年建,15天以前发布,3人关注,板楼、VR房源、房本满五年
上海,满五年 拎包入住 品质两房 马戏城地铁站口,https://sh.lianjia.com/ershoufang/107107496677.html,2室2厅,95.26平米,南,低楼层(共26层),精装,宝华现代城,大宁, 1060万,"111,275元/平",2008年建,11天以前发布,3人关注,板楼、近地铁、VR房源、房本满五年
上海,近公园，美丽家园小区，全明户型，税费少,https://sh.lianjia.com/ershoufang/107107523535.html,1室1厅,49.03平米,南,中楼层(共6层),简装,绿园小区,大宁, 360万,"73,425元/平",1990年建,8天以前发布,0人关注,板楼、VR看装修、房本满五年、随时看房
上海,总校+一手动迁、满五、税费少、业主诚意出售,https://sh.lianjia.com/ershoufang/107106972183.html,2室1厅,68.09平米,南,低楼层(共28层),简装,大宁龙盛雅苑,大宁, 725万,"106,477元/平",2012年建,2个月以前发布,10人关注,板楼、近地铁、VR看装修、房本满两年、随时看房
上海,中内环边上，低总价电梯大三房，满五年税少诚意出售！,https://sh.lianjia.com/ershoufang/107107106960.html,3室2厅,124平米,西南,24层,简装,普善新苑,大宁, 780万,"62,904元/平",1999年建,2个月以前发布,11人关注,塔楼、VR看装修、房本满五年、随时看房
上海,闹中取静，板式户型，人车分流，位置佳，有产权车位,https://sh.lianjia.com/ershoufang/107106987197.html,3室2厅,154.07平米,南,21层,精装,大宁瑞仕花园,大宁, 2002万,"129,941元/平",2013年建,2个月以前发布,9人关注,板楼、VR看装修、房本满五年、随时看房
上海,总校+视野开阔、采光好、小区中间位置,https://sh.lianjia.com/ershoufang/107105866193.html,2室1厅,61.94平米,南 西,高楼层(共24层),简装,大宁龙盛雅苑,大宁, 675万,"108,977元/平",2012年建,9个月以前发布,39人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,飞机户型，全明三房，采光充足，格局通透，诚意出售！,https://sh.lianjia.com/ershoufang/107107356924.html,3室2厅,127.72平米,南 北,低楼层(共11层),精装,歌林春天馨园,大宁, 1220万,"95,522元/平",2005年建,31天以前发布,6人关注,板楼、VR看装修、房本满五年
上海,新梅新上房源地铁口旁，飞机户型南北直通,https://sh.lianjia.com/ershoufang/107107352696.html,3室2厅,115.17平米,南 北,中楼层(共14层),简装,新梅共和城,大宁, 1250万,"108,536元/平",2002年建,31天以前发布,12人关注,板楼、近地铁、VR看装修、房本满五年
上海,八方花苑 2室1厅 西南,https://sh.lianjia.com/ershoufang/107107440521.html,2室1厅,63.71平米,西南,低楼层(共6层),精装,八方花苑,大宁, 528万,"82,876元/平",1991年建,19天以前发布,8人关注,板楼、近地铁、VR看装修、房本满五年
上海,店长推荐 01年品质小区，楼层好，配套齐全 ，近地铁,https://sh.lianjia.com/ershoufang/107107401758.html,2室1厅,102.45平米,南,中楼层(共16层),简装,福泰公寓,大宁, 899万,"87,751元/平",1999年建,24天以前发布,0人关注,板楼、VR房源、房本满两年
上海,一千万以内 中环内三房 出行方便,https://sh.lianjia.com/ershoufang/107107455523.html,3室2厅,88.76平米,南 北 西南,中楼层(共33层),精装,明园森林都市涵翠苑,大宁, 950万,"107,031元/平",2013年建,17天以前发布,17人关注,塔楼、VR房源、房本满两年
上海,静安府南北户型三居室，精装全配，品质高，拎包住,https://sh.lianjia.com/ershoufang/107106706107.html,3室2厅,93.35平米,南 北,高楼层(共30层) ,精装,静安府西区,大宁, 1320万,"141,404元/平",,3个月以前发布,23人关注,板楼、VR看装修、房本满两年、随时看房
上海,地铁全明南北通两房，电梯高区享受jue佳景观,https://sh.lianjia.com/ershoufang/107107035575.html,2室2厅,114.98平米,南,高楼层(共32层),毛坯,新弘国际公寓,大宁, 1260万,"109,585元/平",2008年建,2个月以前发布,6人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,新上架店长推荐/从未出租/售后公房无增值税/0.5%个税,https://sh.lianjia.com/ershoufang/107106150025.html,2室2厅,83.5平米,南,6层,简装,永乐苑,大宁, 745万,"89,222元/平",1998年建,7个月以前发布,35人关注,板楼、VR房源、房本满五年、随时看房
上海,大宁国际/久光百货旁，双南全明户型，得房率高,https://sh.lianjia.com/ershoufang/107106824423.html,2室2厅,54.09平米,南 北,高楼层(共6层),精装,共和新路1873弄,大宁, 360万,"66,556元/平",1982年建,3个月以前发布,37人关注,板楼、近地铁、VR看装修、房本满两年、随时看房
上海,房子满五 唯  一+看房方便+业主诚意出售,https://sh.lianjia.com/ershoufang/107106019696.html,2室1厅,71.51平米,南,高楼层(共6层),简装,广茂苑,大宁, 545万,"76,214元/平",1998年建,8个月以前发布,49人关注,板楼、VR看装修、房本满五年、随时看房
上海,高区景观房+动迁满五且一+双南户型+婚房装修保养好,https://sh.lianjia.com/ershoufang/107107061519.html,2室2厅,79.74平米,南,中楼层(共27层),精装,粤秀名邸,大宁, 670万,"84,024元/平",2014年建,2个月以前发布,23人关注,板楼、VR看装修、房本满五年、随时看房
上海,南北通带南北双阳台，高区采光明亮，满五唯/一税费少,https://sh.lianjia.com/ershoufang/107106826286.html,2室2厅,107.59平米,南 北,高楼层(共26层),精装,盛源家豪城,大宁, 1180万,"109,676元/平",2008年建,3个月以前发布,20人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,业主诚售】内环别墅区，密度低，小高层  得房率高,https://sh.lianjia.com/ershoufang/107105779098.html,4室2厅,136.67平米,南 北,高楼层(共14层),简装,上海滩大宁城(公寓),大宁, 1630万,"119,266元/平",2011年建,9个月以前发布,29人关注,板楼、VR看装修、房本满五年、随时看房
上海,电梯小高层+户型正气+诚意出售+钥匙在手,https://sh.lianjia.com/ershoufang/107107151150.html,3室2厅,125.03平米,南,中楼层(共9层),简装,歌林春天馨园,大宁, 1308万,"104,615元/平",2002年建,1个月以前发布,12人关注,板楼、VR房源、房本满五年、随时看房
上海,全屋地暖，新风中Y空调，南北直通，房型正气，无缺角,https://sh.lianjia.com/ershoufang/107105486803.html,2室2厅,96.53平米,南 北,中楼层(共13层),精装,新梅共和城,大宁, 999万,"103,492元/平",2002年建,11个月以前发布,76人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,全明边套户型 中区楼层 婚房装修 采光好 满五年,https://sh.lianjia.com/ershoufang/107105403252.html,2室1厅,51.39平米,东 南 西 北,中楼层(共6层),精装,上工新村,大宁, 385万,"74,918元/平",1979年建,一年前发布,56人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,近地铁20号线  近公园 户型正气 中高区楼层 停车方便,https://sh.lianjia.com/ershoufang/107106974958.html,2室2厅,107.3平米,南,中楼层(共11层),精装,佳宁花园,大宁, 950万,"88,537元/平",2002年建,2个月以前发布,19人关注,板楼、VR看装修、房本满五年、随时看房
上海,房东诚意出，南北通，视野采光无遮挡，二手买进税费低,https://sh.lianjia.com/ershoufang/107107047636.html,2室2厅,95.52平米,南 北,中楼层(共14层),简装,新梅共和城,大宁, 998万,"104,481元/平",2003年建,2个月以前发布,9人关注,板楼、近地铁、VR看装修、房本满两年、随时看房
上海,久光百货旁，直通大公园，宽敞大2房！急售！成本低！,https://sh.lianjia.com/ershoufang/107106940756.html,2室2厅,82.52平米,南 北,6层,精装,绿色丽园,大宁, 830万,"100,582元/平",2003年建,2个月以前发布,38人关注,板楼、近地铁、VR房源、房本满五年、随时看房
上海,满五年不靠高架 高区采光视野无遮挡 随时看房,https://sh.lianjia.com/ershoufang/107107170603.html,3室2厅,91.02平米,南,高楼层(共23层),精装,上海滩大宁城(公寓),大宁, 1065万,"117,008元/平",2011年建,1个月以前发布,11人关注,板楼、VR看装修、房本满五年、随时看房
上海,满五唯① 低总价 高层电梯房 纵览三件套,https://sh.lianjia.com/ershoufang/107104938619.html,1室1厅,72.99平米,南,高楼层(共25层),简装,金纺小区,大宁, 479万,"65,626元/平",1998年建,一年前发布,55人关注,塔楼、VR看装修、房本满五年、随时看房
上海,中间位置/安静/中间楼层/无增值税/无个税/看房随时,https://sh.lianjia.com/ershoufang/107106231634.html,2室1厅,87.64平米,南,中楼层(共6层),简装,金纺小区,大宁, 575万,"65,610元/平",1996年建,6个月以前发布,15人关注,板楼、VR看装修、房本满五年、随时看房
上海,大宁公园旁+公园旁大三房+楼层好+全明户型+随时看房,https://sh.lianjia.com/ershoufang/107105592458.html,3室2厅,125.61平米,南 北,6层,简装,芳沁苑,大宁, 949万,"75,552元/平",2000年建,11个月以前发布,74人关注,板楼、VR看装修、房本满五年、随时看房
上海,有电梯的叠加别墅 带露台 带地下室 双车位 未入住过,https://sh.lianjia.com/ershoufang/107107110698.html,4室2厅,179.08平米,南,中楼层(共4层) ,毛坯,静安府西区,大宁, 2750万,"153,563元/平",,2个月以前发布,25人关注,板楼、近地铁、VR房源、房本满两年、随时看房
上海,静安大宁 中间楼层 大宁公园旁 港式风格 品质小区,https://sh.lianjia.com/ershoufang/107106663824.html,2室2厅,102.58平米,南 西南,中楼层(共6层),简装,嘉茵苑,大宁, 810万,"78,963元/平",1998年建,4个月以前发布,113人关注,板楼、VR看装修、房本满五年、随时看房
上海,高区楼层+采光视野很棒+小区全人车分流+有产权车位,https://sh.lianjia.com/ershoufang/107106528833.html,3室2厅,143.54平米,南 北,高楼层(共23层),精装,大宁瑞仕花园,大宁, 1795万,"125,053元/平",2013年建,4个月以前发布,28人关注,板楼、VR看装修、房本满五年、随时看房
上海,精装修，z央空调地暖南北通透全明大三房，诚意卖,https://sh.lianjia.com/ershoufang/107106632606.html,3室2厅,126.54平米,南 北,低楼层(共23层),精装,明园森林都市滴翠苑,大宁, 1200万,"94,832元/平",2007年建,4个月以前发布,35人关注,板楼、VR看装修、房本满两年、随时看房
上海,大两房 户型方正+双卧朝南+分区明显+业主诚意,https://sh.lianjia.com/ershoufang/107106611561.html,2室2厅,88.84平米,南,高楼层(共6层),精装,八方花苑,大宁, 698万,"78,569元/平",1995年建,4个月以前发布,5人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,远眺金茂大厦，南向视野开阔，安静位置，金茂物业,https://sh.lianjia.com/ershoufang/107106863439.html,3室2厅,147.9平米,南 东,低楼层(共33层),毛坯,明园森林都市涵翠苑,大宁, 1399万,"94,591元/平",2013年建,3个月以前发布,13人关注,塔楼、VR房源、房本满五年、随时看房
上海,静安次新房，人车分流，产证满5年税费节约一个车位钱,https://sh.lianjia.com/ershoufang/107105689833.html,3室2厅,117.5平米,南,中楼层(共26层),精装,静安府东区,大宁, 1588万,"135,149元/平",2018年建,10个月以前发布,108人关注,板楼、近地铁、VR看装修、房本满两年、随时看房
上海,门店主推：低总价2房，大面积，适合一家人居住,https://sh.lianjia.com/ershoufang/107105854903.html,2室1厅,81.7平米,南 北,高楼层(共6层),精装,金纺小区,大宁, 499万,"61,078元/平",1996年建,9个月以前发布,37人关注,板楼、VR看装修、房本满五年、随时看房
上海,满五仅一套 总价低 税少 业主诚心出售,https://sh.lianjia.com/ershoufang/107105585697.html,3室2厅,86.73平米,南 北,低楼层(共33层),简装,明园森林都市涵翠苑,大宁, 948万,"109,305元/平",2013年建,11个月以前发布,67人关注,塔楼、VR看装修、房本满五年、随时看房
上海,2+1户型，1梯2户高得房率，边套采光视野好，精装税少,https://sh.lianjia.com/ershoufang/107106521523.html,2室2厅,81.91平米,南,7层,精装,宝联小区,大宁, 616万,"75,205元/平",1998年建,4个月以前发布,94人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,森林都市诚意急售大两房，以2020年的价格入住大宁,https://sh.lianjia.com/ershoufang/107106423861.html,2室2厅,95.54平米,东 东南 南,低楼层(共34层),简装,明园森林都市滴翠苑,大宁, 790万,"82,688元/平",2007年建,5个月以前发布,130人关注,塔楼、VR看装修、房本满五年、随时看房
上海,单价10开头 小区从未有过的价格 诚意出售 看房方便,https://sh.lianjia.com/ershoufang/107107337033.html,2室2厅,107.03平米,南 北,低楼层(共33层) ,精装,静安府西区,大宁, 1080万,"100,907元/平",,1个月以前发布,29人关注,板楼、VR看装修、房本满两年、随时看房
上海,可谈哦：地下室可做影视房、台球房、书房、儿童乐园等,https://sh.lianjia.com/ershoufang/107107028715.html,2室2厅,134.8平米,南 北,低楼层(共12层),简装,盛源家豪城,大宁, 1042万,"77,300元/平",2008年建,2个月以前发布,5人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,新上飞机户型+逾88%得房率+非顶楼采光好+随时可看房,https://sh.lianjia.com/ershoufang/107107297856.html,3室2厅,113.96平米,南 北,高楼层(共6层),精装,歌林春天馨园,大宁, 1080万,"94,771元/平",2003年建,1个月以前发布,40人关注,板楼、VR看装修、房本满五年、随时看房
上海,电梯高区，边套全明，有钥匙，随时看，免增值税，急售,https://sh.lianjia.com/ershoufang/107107153134.html,2室2厅,84.76平米,南,高楼层(共28层),毛坯,粤秀名邸,大宁, 618万,"72,912元/平",2014年建,1个月以前发布,18人关注,板楼、VR看装修、房本满五年、随时看房
上海,次新小区+人车分流+精装3房+满五税少,https://sh.lianjia.com/ershoufang/107107045136.html,3室2厅,94.99平米,南 北,低楼层(共14层),精装,象屿大宁悦府,大宁, 1118万,"117,697元/平",2016年建,2个月以前发布,32人关注,板楼、VR看装修、房本满五年、随时看房
上海,中间楼层 大两房户型 采光无忧 南北通全明，车位充足,https://sh.lianjia.com/ershoufang/107105743495.html,2室2厅,84.64平米,南 北,中楼层(共28层),精装,粤秀名邸,大宁, 625万,"73,843元/平",2014年建,10个月以前发布,30人关注,板楼、VR看装修、房本满五年、随时看房
上海,市北高新区  次新小区 南北户型 带独立餐厅 环境优美,https://sh.lianjia.com/ershoufang/107105155701.html,2室2厅,82.16平米,南 北,低楼层(共28层),简装,粤秀名邸,大宁, 598万,"72,785元/平",2014年建,一年前发布,29人关注,板楼、VR看装修、房本满五年、随时看房
上海,满五年，免双税，华润静安府117平3房央座视野好，钥匙,https://sh.lianjia.com/ershoufang/107106059810.html,3室2厅,117.5平米,南,低楼层(共26层),精装,静安府东区,大宁, 1599万,"136,086元/平",2018年建,8个月以前发布,54人关注,板楼、近地铁、VR看装修、房本满两年、随时看房
上海,房龄新 南北3+1四房  中高区 视野好 税费少,https://sh.lianjia.com/ershoufang/107105936289.html,4室2厅,135.27平米,南 北,中楼层(共31层),精装,慧芝湖花园（三期）,大宁, 1800万,"133,068元/平",2011年建,8个月以前发布,58人关注,板楼、VR看装修、房本满五年、随时看房
上海,慧芝湖2期 大阳台南北同3房 中间位置中高楼层 不临街,https://sh.lianjia.com/ershoufang/107106892658.html,3室2厅,138.82平米,南,中楼层(共32层),精装,慧芝湖花园（一二期）,大宁, 1699万,"122,389元/平",2009年建,3个月以前发布,30人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,业主出国急，降价100万，只卖到月底，下月恢复原价。,https://sh.lianjia.com/ershoufang/107106022046.html,4室2厅,132.77平米,南 北,中楼层(共17层),精装,静安府西区,大宁, 1760万,"132,561元/平",2020年建,8个月以前发布,135人关注,板楼、VR看装修、房本满两年、随时看房
上海,这么便宜的3房不来看看？！蕝对有惊喜！！！,https://sh.lianjia.com/ershoufang/107107151235.html,3室2厅,124.7平米,南 北,低楼层(共14层),简装,新梅共和城,大宁, 1198万,"96,071元/平",2004年建,1个月以前发布,26人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,买入686万差额税少，满五唯/一无个税，带地下产权车位,https://sh.lianjia.com/ershoufang/107106742724.html,2室2厅,106.38平米,南 北,中楼层(共26层),简装,盛源家豪城,大宁, 1120万,"105,283元/平",2008年建,3个月以前发布,17人关注,板楼、VR看装修、房本满五年、随时看房
上海,金茂府三恒系统，管家服务，房子满五年，诚意出售,https://sh.lianjia.com/ershoufang/107107525311.html,3室2厅,158平米,南,高楼层(共22层),精装,大宁金茂府,大宁, 2680万,"169,621元/平",2016年建,7天以前发布,2人关注,板楼、VR看装修
上海,总校+一手动迁、税费少、满五、有车位,https://sh.lianjia.com/ershoufang/107107419129.html,2室1厅,61.94平米,东南,低楼层(共24层),简装,大宁龙盛雅苑,大宁, 650万,"104,941元/平",2012年建,22天以前发布,4人关注,板楼、近地铁、VR看装修、房本满五年
上海,砖石楼层 看房随时 中间位置三岁可用,https://sh.lianjia.com/ershoufang/107107493404.html,1室1厅,31.74平米,南,高楼层(共6层),精装,洛川中路1100弄,大宁, 270万,"85,067元/平",1986年建,12天以前发布,3人关注,板楼、VR看装修、房本满五年
