城市,板块,名称,链接,户型,面积,朝向,楼层,装修,小区,区域,总价,单价,建成时间,发布时间,关注,其他信息
上海,黄浦,人车分流+层高3.2米+产权车位+满五+聚焦A房,https://sh.lianjia.com/ershoufang/107107204685.html,3室2厅,132.22平米,南,中楼层(共9层),精装,翠湖天地雅苑,新天地, 3088万,"233,551元/平",2003年建,1个月以前发布,30人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,黄浦,新天地 特色建筑 63平 2房 诚意出售 门口是 复兴公园,https://sh.lianjia.com/ershoufang/107106810752.html,2室1厅,63.17平米,东 西,高楼层(共5层) ,简装,巴黎公寓,新天地, 688万,"108,913元/平",,3个月以前发布,7人关注,板楼、近地铁、VR房源、房本满五年、随时看房
上海,黄浦,新天地 4房南北通 有保姆房 戴维斯物业 有车位 诚意售,https://sh.lianjia.com/ershoufang/107105450592.html,4室2厅,260.44平米,南 北,低楼层(共30层),精装,锦麟天地雅苑,新天地, 5190万,"199,279元/平",2005年建,一年前发布,2人关注,板楼、近地铁、VR看装修、房本满五年
上海,黄浦,翠湖天地带车位全明方正景观两房,https://sh.lianjia.com/ershoufang/107106727891.html,2室2厅,134.8平米,南,低楼层(共29层),精装,翠湖天地嘉苑,新天地, 3100万,"229,971元/平",2008年建,4个月以前发布,29人关注,板楼、近地铁、VR看装修、房本满五年
上海,黄浦,新天地小户型、复兴SOHO旁、地铁9/10/13号线,https://sh.lianjia.com/ershoufang/107107143314.html,2室0厅,53.53平米,南,低楼层(共6层),精装,合肥路267,271号(单), 666万,"124,417元/平",1987年建,2个月以前发布,13人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,黄浦,新天地低总价电梯两房，仅1%个税，全明户型采光充足！,https://sh.lianjia.com/ershoufang/107107035311.html,2室0厅,70.52平米,西南 北,低楼层(共27层),简装,马当小区,新天地, 868万,"123,086元/平",1992年建,2个月以前发布,7人关注,塔楼、近地铁、VR看装修、房本满五年、随时看房
上海,黄浦,新天地绽放  中区景观  全南2房  看房方便 诚意出售,https://sh.lianjia.com/ershoufang/107106789331.html,2室1厅,41.2平米,南,中楼层(共5层),精装,合肥路395,397号(单), 550万,"133,496元/平",1976年建,3个月以前发布,33人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,黄浦,马当小区，满五年全明两房，楼层无遮挡，视野很好,https://sh.lianjia.com/ershoufang/107106343343.html,2室0厅,61.81平米,东,低楼层(共27层),简装,马当小区,新天地, 738万,"119,399元/平",1992年建,6个月以前发布,10人关注,塔楼、近地铁、VR看装修、房本满五年、随时看房
上海,黄浦,翠湖天地嘉苑 2室1厅 南,https://sh.lianjia.com/ershoufang/107106943801.html,2室1厅,155.32平米,南,高楼层(共16层),精装,翠湖天地嘉苑,新天地, 3480万,"224,054元/平",2009年建,3个月以前发布,6人关注,板楼、近地铁、VR看装修、房本满五年
上海,黄浦,健乐小区 2室2厅 南,https://sh.lianjia.com/ershoufang/107107155682.html,2室2厅,57.65平米,南,中楼层(共6层),精装,健乐小区,新天地, 839万,"145,534元/平",1984年建,2个月以前发布,11人关注,板楼、近地铁、VR看装修、房本满五年
上海,黄浦,满五年，税费少，中间楼层，视野采光好，诚意出售,https://sh.lianjia.com/ershoufang/107105338802.html,2室2厅,117.22平米,南 北,29层,精装,淡水湾花园,新天地, 2200万,"187,682元/平",2007年建,一年前发布,6人关注,板楼、VR看装修、房本满五年
上海,黄浦,电梯复式两房看房方便，满五年，少有户型在售,https://sh.lianjia.com/ershoufang/107105398008.html,2室2厅,116.91平米,南,低楼层(共20层),精装,建德坊,新天地, 1600万,"136,858元/平",2002年建,一年前发布,22人关注,板楼、近地铁、VR房源、房本满五年
上海,黄浦,满5唯1税费低诚意出售，高楼层三房，保养好可直接出租,https://sh.lianjia.com/ershoufang/107106267281.html,3室2厅,140.16平米,南,中楼层(共12层),精装,翠湖天地御苑,新天地, 3500万,"249,715元/平",2006年建,6个月以前发布,23人关注,板楼、近地铁、VR看装修、房本满五年
上海,黄浦,新天地板块，你找不出比这套更好的两房,https://sh.lianjia.com/ershoufang/107107267501.html,2室2厅,117.22平米,南,29层,精装,淡水湾花园,新天地, 2280万,"194,507元/平",2007年建,1个月以前发布,10人关注,板楼、VR看装修、房本满五年
上海,黄浦,淮海晶华苑 2室2厅 南 北,https://sh.lianjia.com/ershoufang/107107192611.html,2室2厅,183.82平米,南 北,低楼层(共28层),精装,淮海晶华苑,新天地, 2550万,"138,723元/平",2006年建,1个月以前发布,5人关注,板楼、近地铁、VR看装修、房本满五年
上海,黄浦,新天地历史保护建筑，三房售后公房，满五业主首套少税,https://sh.lianjia.com/ershoufang/107104026234.html,3室2厅,151平米,东 西,中楼层(共5层),精装,花园公寓(卢湾),新天地, 2200万,"145,696元/平",1936年建,一年前发布,618人关注,板楼、近地铁、VR房源、房本满五年
上海,黄浦,翠湖御苑边套全明3房 小区中间位置 业主二次装修,https://sh.lianjia.com/ershoufang/107107250492.html,3室2厅,183.09平米,南,低楼层(共32层),精装,翠湖天地御苑,新天地, 4180万,"228,304元/平",2006年建,1个月以前发布,10人关注,板楼、近地铁、VR房源、房本满五年
上海,黄浦,新天地品质小区+全明三房+2梯4户+满五年+9/10/13号线,https://sh.lianjia.com/ershoufang/107106390562.html,3室2厅,124.53平米,南,18层,精装,淡水公寓,新天地, 1648万,"132,338元/平",2000年建,5个月以前发布,23人关注,板楼、近地铁、VR看装修、房本满五年
上海,黄浦,新天地 双南套房 全屋地暖 主卫干湿分离,https://sh.lianjia.com/ershoufang/107106250674.html,2室2厅,147.97平米,南,低楼层(共31层),精装,济南路8号,新天地, 1800万,"121,647元/平",1998年建,6个月以前发布,42人关注,塔楼、VR看装修、房本满五年
上海,黄浦,复兴苑小区、全明户型、总价低。,https://sh.lianjia.com/ershoufang/107106791029.html,2室2厅,110.12平米,南 西 北,32层,精装,复兴苑,新天地, 1280万,"116,237元/平",1998年建,3个月以前发布,23人关注,板塔结合、近地铁、VR房源、房本满两年
上海,黄浦,中间位置，安静舒适满五年税费少,https://sh.lianjia.com/ershoufang/107105337322.html,2室1厅,83.96平米,南,29层,精装,淡水湾花园,新天地, 1590万,"189,376元/平",2007年建,一年前发布,22人关注,板楼、VR看装修、房本满五年
上海,黄浦,3房的客厅面宽，蒌王座，低总价，瞰庄园绿化，随时看,https://sh.lianjia.com/ershoufang/107107045834.html,2室2厅,128.08平米,东南,低楼层(共19层),其他,翠湖天地嘉苑,新天地, 3050万,"238,133元/平",2009年建,2个月以前发布,8人关注,板楼、近地铁、VR看装修、房本满五年
上海,黄浦,新天地电梯三房，公司产权，税费各付！,https://sh.lianjia.com/ershoufang/107107138894.html,3室2厅,153.19平米,南 北,低楼层(共28层),简装,国际广场(卢湾),新天地, 1350万,"88,126元/平",1997年建,2个月以前发布,0人关注,塔楼、近地铁、VR看装修、房本满五年
上海,黄浦,翠湖二期高区凤凰层 全天阳光直射 朝南无遮挡2房,https://sh.lianjia.com/ershoufang/107106781377.html,2室2厅,140平米,南,高楼层(共12层),精装,翠湖天地御苑,新天地, 3480万,"248,572元/平",2006年建,3个月以前发布,11人关注,板楼、近地铁、VR看装修、房本满两年
上海,黄浦,客厅主卧朝南的大两房，总价低，客厅朝南，业主诚意卖,https://sh.lianjia.com/ershoufang/107106382897.html,2室2厅,140平米,东南,低楼层(共12层),精装,翠湖天地御苑,新天地, 3150万,"225,000元/平",2006年建,5个月以前发布,17人关注,板楼、近地铁、VR看装修、房本满两年
上海,黄浦,新天地 电梯房高层视野好 门口地铁口 户型方正 南北通,https://sh.lianjia.com/ershoufang/107107558850.html,2室2厅,101.57平米,南 北,中楼层(共31层),精装,建德坊,新天地, 1670万,"164,419元/平",2002年建,8天以前发布,0人关注,板楼、近地铁、VR看装修
上海,黄浦,高樓層景觀房 邊套全明  全南臥室  誠意賣 稅費少,https://sh.lianjia.com/ershoufang/107104928379.html,2室2厅,145.72平米,南 西,高楼层(共16层),精装,翠湖天地嘉苑,新天地, 3400万,"233,325元/平",2009年建,一年前发布,8人关注,板楼、近地铁、VR看装修、房本满五年
上海,黄浦,公司产权可做股转，诚意出售，可看可签,https://sh.lianjia.com/ershoufang/107105542010.html,2室1厅,147.97平米,南,低楼层(共31层) ,精装,济南路8号,新天地, 1800万,"121,647元/平",,11个月以前发布,9人关注,塔楼、VR房源、房本满两年
上海,黄浦,淡水湾花园 3室2厅 南 北,https://sh.lianjia.com/ershoufang/107107323994.html,3室2厅,138.35平米,南 北,29层,精装,淡水湾花园,新天地, 2660万,"192,266元/平",2007年建,1个月以前发布,5人关注,板楼、VR看装修、房本满两年
上海,黄浦,新天地板块朝南两房，业主诚意出售！,https://sh.lianjia.com/ershoufang/107106920004.html,2室1厅,117.22平米,南,29层,简装,淡水湾花园,新天地, 1980万,"168,914元/平",2007年建,3个月以前发布,3人关注,板楼、VR看装修、房本满五年
上海,黄浦,新天地双轨交汇、满五年仅一套、淡水湾花园稀售3房,https://sh.lianjia.com/ershoufang/107107210050.html,3室2厅,129.74平米,南 北,19层,精装,淡水湾花园,新天地, 2240万,"172,653元/平",2007年建,1个月以前发布,18人关注,板楼、近地铁、VR看装修、房本满五年
上海,黄浦,高区新装两房改一房大横厅设计屋况好自住房,https://sh.lianjia.com/ershoufang/107105190707.html,1室1厅,130.81平米,南 北,高楼层(共32层),精装,翠湖天地嘉苑,新天地, 3088万,"236,068元/平",2008年建,一年前发布,19人关注,板楼、近地铁、VR房源、房本满五年
上海,黄浦,淮海路上，连卡福边 精装带地暖大2房，南北通户型,https://sh.lianjia.com/ershoufang/107107155743.html,2室2厅,183.82平米,南,中楼层(共17层),精装,淮海晶华苑,新天地, 3000万,"163,204元/平",2006年建,2个月以前发布,6人关注,板楼、近地铁、VR看装修、房本满五年
上海,黄浦,淡水公寓 全明2房，2梯4户，满五年税费少，16楼高区,https://sh.lianjia.com/ershoufang/107106564413.html,2室2厅,95.34平米,南 西,18层,简装,淡水公寓,新天地, 1395万,"146,319元/平",2000年建,4个月以前发布,4人关注,板楼、近地铁、VR看装修、房本满五年
上海,黄浦,新天地秒杀好房南北全明户型诚意出售,https://sh.lianjia.com/ershoufang/107107315712.html,3室1厅,70.52平米,南 北,低楼层(共6层),简装,健乐小区,新天地, 910万,"129,042元/平",1984年建,1个月以前发布,8人关注,板楼、近地铁、VR看装修、房本满五年
上海,黄浦,新天地地铁口 141平大3房 门口 是SOHO 复兴广场 诚售,https://sh.lianjia.com/ershoufang/107106946318.html,3室2厅,141.32平米,南,32层,精装,复兴苑,新天地, 1750万,"123,833元/平",1998年建,3个月以前发布,11人关注,板塔结合、近地铁、VR看装修、随时看房
上海,黄浦,淡水湾稀售55平全南小户型 看房方便 诚意出售,https://sh.lianjia.com/ershoufang/107107467754.html,1室1厅,54.94平米,南,19层,精装,淡水湾花园,新天地, 1098万,"199,855元/平",2007年建,21天以前发布,5人关注,板楼、近地铁、VR看装修、随时看房
上海,黄浦,且看且珍惜|全明户型，三面采光，高区新装，百万家私,https://sh.lianjia.com/ershoufang/107100393751.html,3室2厅,237.13平米,南 北,高楼层(共19层),精装,翠湖天地嘉苑,新天地, 6200万,"261,460元/平",2009年建,一年前发布,338人关注,板楼、近地铁、VR看装修
上海,黄浦,黄浦淮海公园旁  全屋地暖中 央空调  领包入住,https://sh.lianjia.com/ershoufang/107106403633.html,1室1厅,82.74平米,东,低楼层(共31层) ,精装,济南路8号,新天地, 1190万,"143,825元/平",,5个月以前发布,14人关注,塔楼、VR看装修、房本满五年、随时看房
上海,黄浦,高区景观房：看淮海公园四季变换、淮海路夜景，美如画,https://sh.lianjia.com/ershoufang/107104453906.html,1室2厅,108.12平米,东 北,中楼层(共31层) ,精装,济南路8号,新天地, 1700万,"157,233元/平",,一年前发布,89人关注,塔楼、VR房源、房本满五年
上海,黄浦,T18东边套阔景三房，毛坯房，象限空间突出，有车位!,https://sh.lianjia.com/ershoufang/107104926018.html,3室2厅,193.56平米,北,低楼层(共28层),毛坯,翠湖天地御苑,新天地, 4350万,"224,737元/平",2006年建,一年前发布,7人关注,板楼、近地铁、VR看装修、房本满五年
上海,黄浦,新天地800多万买两层+满5年+婚房装修+无贷款+看房随时,https://sh.lianjia.com/ershoufang/107106815335.html,1室2厅,52.76平米,南 北,低楼层(共3层),精装,振华里小区,新天地, 860万,"163,003元/平",1994年建,3个月以前发布,7人关注,平房、近地铁、VR房源、房本满五年
上海,黄浦,翠湖前排，9米横厅湖景2房，二手买进，四百万装修！,https://sh.lianjia.com/ershoufang/107106961919.html,2室1厅,116.36平米,南,中楼层(共20层),精装,翠湖天地雅苑,新天地, 3025万,"259,970元/平",2003年建,2个月以前发布,34人关注,板楼、近地铁、VR看装修、房本满两年
上海,黄浦,LU湾1晓重要+新天地区域+9/10/13号线+精装南北全明2房,https://sh.lianjia.com/ershoufang/107105535596.html,2室1厅,41.72平米,南 北,高楼层(共6层),精装,淡水路442弄,新天地, 588万,"140,940元/平",1988年建,11个月以前发布,28人关注,板楼、近地铁、VR看装修、房本满两年
上海,黄浦,新天地板块被大家忽略的房改房连云大楼,https://sh.lianjia.com/ershoufang/107106647597.html,1室1厅,57.72平米,南,高楼层(共13层),简装,连云大楼,新天地, 670万,"116,078元/平",1992年建,4个月以前发布,2人关注,塔楼、近地铁、VR房源、房本满五年
上海,黄浦,濟南路8號 全南西邊套2房 滿5年稅費少 重新裝修,https://sh.lianjia.com/ershoufang/107105594565.html,2室2厅,147.97平米,南,低楼层(共31层),精装,济南路8号,新天地, 2250万,"152,058元/平",1998年建,11个月以前发布,29人关注,塔楼、VR看装修、房本满五年
上海,黄浦,二手买进价高税费少，诚意出售看房方便,https://sh.lianjia.com/ershoufang/107105819617.html,2室1厅,61.85平米,南,中楼层(共26层),简装,马当小区,新天地, 730万,"118,028元/平",1992年建,9个月以前发布,16人关注,塔楼、近地铁、VR看装修、房本满五年
上海,黄浦,新上少有81方电梯边套两房，满五税少,https://sh.lianjia.com/ershoufang/107107306813.html,2室2厅,81.47平米,南 北,中楼层(共20层),精装,建德坊,新天地, 1298万,"159,323元/平",2002年建,1个月以前发布,4人关注,板楼、近地铁、VR看装修、房本满五年
上海,黄浦,地段佳10/13号线 配套完善 全明户型,https://sh.lianjia.com/ershoufang/107106608164.html,2室0厅,50.96平米,南,高楼层(共7层),简装,重建小区,新天地, 536万,"105,181元/平",1980年建,4个月以前发布,35人关注,板楼、近地铁、VR看装修、房本满五年
上海,黄浦,新天地老公寓 采光好 一梯两户 中楼层 拎包住 层高高,https://sh.lianjia.com/ershoufang/107106853511.html,1室2厅,59.33平米,东 西,低楼层(共3层) ,精装,巴黎公寓,新天地, 775万,"130,626元/平",,3个月以前发布,9人关注,暂无数据、近地铁、VR看装修、房本满两年
上海,黄浦,满5年出售，全南大一房，翠湖高区一房视线采光好急售,https://sh.lianjia.com/ershoufang/107106064771.html,1室2厅,91.72平米,南,中楼层(共28层),精装,翠湖天地御苑,新天地, 2050万,"223,507元/平",2006年建,8个月以前发布,23人关注,板楼、近地铁、VR房源、房本满五年
上海,黄浦,新天地多层小两房，南北通户型，得房率高,https://sh.lianjia.com/ershoufang/107106833315.html,2室1厅,66.68平米,南,高楼层(共6层),简装,建德坊,新天地, 1180万,"176,965元/平",2002年建,3个月以前发布,13人关注,板楼、VR看装修、随时看房
上海,黄浦,全新装修 新天地58平 南北通2房 地铁口 正面就是K11,https://sh.lianjia.com/ershoufang/107105989713.html,2室1厅,57.88平米,南,高楼层(共13层),简装,连云大楼,新天地, 688万,"118,867元/平",1992年建,8个月以前发布,21人关注,塔楼、近地铁、VR看装修、随时看房
上海,黄浦,翠湖天地御苑，经典3房，高区视野佳，直面太平湖！,https://sh.lianjia.com/ershoufang/107106557610.html,3室2厅,187.07平米,南,高楼层(共32层),简装,翠湖天地御苑,新天地, 4700万,"251,243元/平",2006年建,4个月以前发布,16人关注,板楼、近地铁、VR看装修
上海,黄浦,新天地 电梯房 全南全明户型 三轨交汇 看房方便,https://sh.lianjia.com/ershoufang/107105125787.html,2室1厅,83.86平米,南,低楼层(共27层),精装,马当小区,新天地, 1080万,"128,787元/平",1992年建,一年前发布,47人关注,塔楼、近地铁、VR看装修
上海,黄浦,新天地 全南 户型方正  电梯房 诚意出售 配套齐全,https://sh.lianjia.com/ershoufang/107106763594.html,1室2厅,58.46平米,南,中楼层(共20层),精装,建德坊,新天地, 1061万,"181,492元/平",2002年建,3个月以前发布,4人关注,板楼、VR看装修
上海,黄浦,新天地位置好地铁口全南2房，户型方正,https://sh.lianjia.com/ershoufang/107104789175.html,2室1厅,78.6平米,南,低楼层(共26层),简装,马当小区,新天地, 980万,"124,682元/平",1992年建,一年前发布,7人关注,塔楼、近地铁、VR看装修
上海,黄浦,老上海风情 重庆公寓经典一房 带阁楼 诚意出售 有钥匙,https://sh.lianjia.com/ershoufang/107106936890.html,1室1厅,34.61平米,西南,5层,简装,重庆公寓,新天地, 355万,"102,572元/平",1936年建,3个月以前发布,32人关注,板楼、近地铁、VR看装修、随时看房
上海,黄浦,出门10、13号线，新天地、满5唯壹，高层采光、便利,https://sh.lianjia.com/ershoufang/107106971437.html,2室2厅,110.12平米,南,32层,简装,复兴苑,新天地, 1298万,"117,872元/平",1998年建,2个月以前发布,4人关注,板塔结合、近地铁、VR看装修
上海,黄浦,通燃气！只有一套！且是02户型，朝东南！东看太平湖！,https://sh.lianjia.com/ershoufang/107104988363.html,3室2厅,185.44平米,南 东,低楼层(共33层),精装,锦麟天地雅苑,新天地, 3600万,"194,133元/平",2005年建,一年前发布,4人关注,板楼、近地铁、房本满两年、随时看房
上海,黄浦,上海新天地板块精致一房，可直接购买，诚意出售,https://sh.lianjia.com/ershoufang/107107077375.html,1室2厅,82.74平米,南,低楼层(共31层),精装,济南路9号,新天地, 1400万,"169,205元/平",2008年建,2个月以前发布,0人关注,塔楼、近地铁、房本满两年
上海,黄浦,新天地Top贵气，正看淮海公园，陆家嘴景观，诚意,https://sh.lianjia.com/ershoufang/107104084137.html,1室2厅,108.12平米,北 东北,中楼层(共31层),精装,济南路9号,新天地, 1750万,"161,858元/平",2008年建,一年前发布,2人关注,塔楼、近地铁、房本满五年
上海,黄浦,新天地，13W单价，大三房明星楼盘，楼层高，带车位。,https://sh.lianjia.com/ershoufang/107107079212.html,3室2厅,212.58平米,南,中楼层(共23层),简装,淮海晶华苑,新天地, 2999万,"141,077元/平",2006年建,2个月以前发布,3人关注,板楼、近地铁、房本满五年
上海,黄浦,新天地小户型，低总价，少税，管家服务,https://sh.lianjia.com/ershoufang/107105596115.html,2室2厅,147.97平米,南 北,低楼层(共31层),精装,济南路9号,新天地, 2200万,"148,679元/平",2008年建,11个月以前发布,5人关注,塔楼、近地铁、房本满两年
上海,黄浦,济南路9号 1室2厅 北 东北,https://sh.lianjia.com/ershoufang/107106813533.html,1室2厅,108.12平米,北 东北,中楼层(共31层),精装,济南路9号,新天地, 1700万,"157,233元/平",2000年建,3个月以前发布,0人关注,塔楼、近地铁
上海,黄浦,济南路9号 1室2厅 西,https://sh.lianjia.com/ershoufang/107106813568.html,1室2厅,82平米,西,高楼层(共31层) ,精装,济南路9号,新天地, 1400万,"170,732元/平",,3个月以前发布,0人关注,塔楼、近地铁
上海,黄浦,新天地，巴卡拉钻石，您值得拥有的房子！,https://sh.lianjia.com/ershoufang/107104711980.html,1室2厅,108.12平米,北 东北,中楼层(共31层) ,精装,济南路9号,新天地, 1920万,"177,581元/平",,一年前发布,4人关注,塔楼、近地铁、房本满两年
上海,黄浦,税费低，淮海路上电梯房，景观视野好,https://sh.lianjia.com/ershoufang/107105374121.html,2室2厅,77.42平米,南 北 东,中楼层(共30层),精装,淮海大厦,新天地, 980万,"126,583元/平",1992年建,一年前发布,2人关注,塔楼、近地铁、房本满五年
上海,黄浦,一室户朝南，新天地地铁口，小户型低总价,https://sh.lianjia.com/ershoufang/107107178932.html,1室1厅,33.99平米,南,低楼层(共3层) ,精装,松韵小区,新天地, 575万,"169,168元/平",,1个月以前发布,0人关注,板楼、近地铁、房本满两年
上海,黄浦,酒店式管理，通燃气，新装修，空调有地暖,https://sh.lianjia.com/ershoufang/107105686337.html,3室2厅,186.97平米,南 北,低楼层(共33层),精装,锦麟天地雅苑,新天地, 3900万,"208,590元/平",2005年建,10个月以前发布,2人关注,板楼、近地铁
上海,黄浦,全景落地景观窗，全南户型看太平湖，24小时管家服务,https://sh.lianjia.com/ershoufang/107106812792.html,2室2厅,147.97平米,北,低楼层(共31层) ,简装,济南路9号,新天地, 1900万,"128,405元/平",,3个月以前发布,0人关注,塔楼、近地铁
上海,黄浦,百年淮海路，一座新天地！东看陆家嘴西看衡复风貌区！,https://sh.lianjia.com/ershoufang/107105926555.html,3室2厅,161.37平米,东 西南,中楼层(共33层),精装,锦麟天地雅苑,新天地, 3650万,"226,189元/平",2005年建,9个月以前发布,4人关注,板楼、近地铁
上海,黄浦,锦麟天地雅苑 3室1厅 南 北,https://sh.lianjia.com/ershoufang/107105863911.html,3室1厅,186.97平米,南 北,低楼层(共33层),精装,锦麟天地雅苑,新天地, 4180万,"223,566元/平",2005年建,9个月以前发布,0人关注,板楼、近地铁
上海,黄浦,新天地，通燃气，高区采光视野好，可看太平湖！,https://sh.lianjia.com/ershoufang/107106302085.html,3室2厅,162.96平米,西北,高楼层(共33层),精装,锦麟天地雅苑,新天地, 3600万,"220,914元/平",2005年建,6个月以前发布,2人关注,板楼、近地铁
上海,黄浦,新天地，不占购房资格，临太平湖，全新装修,https://sh.lianjia.com/ershoufang/107106020354.html,3室2厅,161.37平米,西 西南,中楼层(共33层),精装,锦麟天地雅苑,新天地, 2999万,"185,847元/平",2005年建,8个月以前发布,3人关注,板楼、近地铁
上海,黄浦,不需要资格的藏品大两房，细节拉满的新天地公馆,https://sh.lianjia.com/ershoufang/107107080260.html,2室2厅,119.62平米,东 北,高楼层(共31层) ,精装,济南路9号,新天地, 2290万,"191,440元/平",,2个月以前发布,0人关注,塔楼、近地铁
上海,黄浦,新天地板块，全南两房，全明户型，地铁口边，商场多,https://sh.lianjia.com/ershoufang/107106603529.html,2室2厅,102.21平米,南,29层,简装,淡水湾花园,新天地, 1702万,"166,520元/平",2007年建,4个月以前发布,22人关注,板楼、VR看装修、房本满五年、随时看房
上海,黄浦,五星酒店服务+全屋玻璃幕墙+诚心出售,https://sh.lianjia.com/ershoufang/107107084946.html,2室1厅,147.97平米,南,低楼层(共31层) ,精装,济南路8号,新天地, 2450万,"165,575元/平",,2个月以前发布,2人关注,塔楼、VR看装修、房本满五年
